[2023-09-26 15:29:10,359] INFO [Broker id=0] Leader connect-offsets-1 with topic id Some(4_ecRzKsQvCD8DgQTbS1XA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:10,397] INFO [Broker id=0] Leader __consumer_offsets-26 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:10,433] INFO [Broker id=0] Leader connect-status-2 with topic id Some(oflyTWEMT4OcauAzyZASuw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:10,472] INFO [Broker id=0] Leader __consumer_offsets-49 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:10,511] INFO [Broker id=0] Leader connect-configs-0 with topic id Some(MO_7zpR_TN2BHFxhWQhPrg) starts at leader epoch 0 from offset 109 with partition epoch 0, high watermark 109, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:10,511] INFO [Broker id=0] Leader connect-offsets-11 with topic id Some(4_ecRzKsQvCD8DgQTbS1XA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:10,567] INFO [Broker id=0] Leader __consumer_offsets-39 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:10,586] INFO [Broker id=0] Leader __consumer_offsets-9 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:10,605] INFO [Broker id=0] Leader __consumer_offsets-24 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:10,625] INFO [Broker id=0] Leader connect-offsets-19 with topic id Some(4_ecRzKsQvCD8DgQTbS1XA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:10,644] INFO [Broker id=0] Leader __consumer_offsets-31 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:10,664] INFO [Broker id=0] Leader __consumer_offsets-46 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:10,684] INFO [Broker id=0] Leader __consumer_offsets-1 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:10,739] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:10,759] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:10,797] INFO [Broker id=0] Leader connect-offsets-10 with topic id Some(4_ecRzKsQvCD8DgQTbS1XA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:10,833] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:10,853] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:10,908] INFO [Broker id=0] Leader connect-status-0 with topic id Some(oflyTWEMT4OcauAzyZASuw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:10,946] INFO [Broker id=0] Leader connect-offsets-18 with topic id Some(4_ecRzKsQvCD8DgQTbS1XA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:10,972] INFO [Broker id=0] Leader connect-offsets-3 with topic id Some(4_ecRzKsQvCD8DgQTbS1XA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:10,993] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:11,012] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:11,050] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:11,089] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:11,127] INFO [Broker id=0] Leader connect-offsets-20 with topic id Some(4_ecRzKsQvCD8DgQTbS1XA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:11,166] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:11,205] INFO [Broker id=0] Leader connect-offsets-5 with topic id Some(4_ecRzKsQvCD8DgQTbS1XA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:11,243] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:11,279] INFO [Broker id=0] Leader example-order-topic-0 with topic id Some(1Xy0jmnmRzGiuYfnck4nGw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:11,300] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:11,336] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:11,355] INFO [Broker id=0] Leader connect-offsets-13 with topic id Some(4_ecRzKsQvCD8DgQTbS1XA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:11,391] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
